Dataset & Language & Glove & Komninos & LASER2 & LaBSE & paraphrase-multilingual-MiniLM-L12-v2 & paraphrase-multilingual-mpnet-base-v2 & SGPT-bloom-7b1-msmarco & SGPT-bloom-1b3-nli \\
BUCC & de-en & 0.18 & 0.18 & 99.21 & 99.35 & 97.11 & 98.59 & 54.0 &  \\
BUCC & fr-en & 0.19 & 0.08 & 98.39 & 98.72 & 94.99 & 96.89 & 97.06 &  \\
BUCC & ru-en & 0.1 & 0.15 & 97.62 & 97.78 & 95.06 & 96.44 & 45.3 &  \\
BUCC & zh-en &  & 0.05 & 97.7 & 99.16 & 95.63 & 97.56 & 97.96 &  \\
Tatoeba & cat-eng &  & 7.73 & 95.8 & 95.38 & 94.42 & 96.05 &  &  \\
Tatoeba & eus-eng &  & 4.69 & 93.32 & 95.01 & 23.18 & 31.33 &  &  \\
Tatoeba & yue-eng &  & 0.5 & 87.75 & 89.58 & 71.45 & 77.58 &  &  \\
Tatoeba & swe-eng &  & 6.72 & 95.31 & 95.63 & 94.42 & 95.45 &  &  \\
Tatoeba & dtp-eng &  & 4.25 & 7.39 & 10.85 & 5.69 & 5.03 &  &  \\
Tatoeba & kat-eng &  & 1.11 & 81.16 & 95.02 & 95.44 & 95.46 &  &  \\
Tatoeba & jpn-eng &  & 0.2 & 93.78 & 95.38 & 90.41 & 92.51 &  &  \\
Tatoeba & csb-eng &  & 5.69 & 27.03 & 52.57 & 21.56 & 23.73 &  &  \\
Tatoeba & xho-eng &  & 4.33 & 4.68 & 91.55 & 4.52 & 6.53 &  &  \\
Tatoeba & orv-eng &  & 0.24 & 23.24 & 38.93 & 15.1 & 23.77 &  &  \\
Tatoeba & ind-eng &  & 7.26 & 92.98 & 93.66 & 92.74 & 93.5 &  &  \\
Tatoeba & tuk-eng &  & 5.76 & 16.35 & 75.27 & 15.16 & 14.91 &  &  \\
Tatoeba & max-eng &  & 14.53 & 36.96 & 63.26 & 45.25 & 48.77 &  &  \\
Tatoeba & swh-eng &  & 11.49 & 55.66 & 84.5 & 14.48 & 16.02 &  &  \\
Tatoeba & hin-eng &  & 0.1 & 95.32 & 96.87 & 97.62 & 97.75 &  &  \\
Tatoeba & dsb-eng &  & 5.33 & 42.34 & 64.81 & 33.43 & 36.85 &  &  \\
Tatoeba & ber-eng &  & 7.0 & 77.63 & 8.4 & 4.43 & 4.88 &  &  \\
Tatoeba & tam-eng &  & 1.3 & 87.32 & 89.0 & 24.64 & 73.6 &  &  \\
Tatoeba & slk-eng &  & 4.23 & 95.82 & 96.5 & 95.15 & 96.62 &  &  \\
Tatoeba & tgl-eng &  & 2.61 & 63.19 & 96.02 & 13.09 & 17.67 &  &  \\
Tatoeba & ast-eng &  & 11.69 & 76.35 & 90.68 & 62.17 & 70.08 &  &  \\
Tatoeba & mkd-eng &  & 0.2 & 93.63 & 93.6 & 91.0 & 93.02 &  &  \\
Tatoeba & khm-eng &  & 0.55 & 74.19 & 78.37 & 32.11 & 58.8 &  &  \\
Tatoeba & ces-eng &  & 3.55 & 95.52 & 96.68 & 95.12 & 95.73 &  &  \\
Tatoeba & tzl-eng &  & 15.51 & 36.56 & 58.88 & 25.46 & 34.21 &  &  \\
Tatoeba & urd-eng &  & 0.4 & 84.23 & 93.22 & 94.57 & 95.12 &  &  \\
Tatoeba & ara-eng &  & 0.63 & 90.14 & 88.8 & 87.93 & 90.19 &  &  \\
Tatoeba & kor-eng &  & 0.5 & 87.97 & 90.95 & 92.52 & 93.07 &  &  \\
Tatoeba & yid-eng &  & 0.59 & 2.49 & 88.79 & 14.38 & 30.73 &  &  \\
Tatoeba & fin-eng &  & 3.36 & 96.98 & 96.37 & 93.1 & 95.92 &  &  \\
Tatoeba & tha-eng &  & 0.69 & 96.38 & 96.14 & 96.72 & 95.99 &  &  \\
Tatoeba & wuu-eng &  & 0.2 & 75.09 & 90.18 & 76.0 & 78.25 &  &  \\
Average & mix &  & 4.54 & 67.42 & 81.75 & 57.98 & 63.38 &  &  \\
